district,msg_groups,improved_techs,new_boreholes,latitude,longitude
Chibombo,6560,2450,1,-14.83494937,28.03673959
Kabwe,849,36,23,-14.47085205,28.35268302
Kapiri Mposhi,5351,1091,15,-14.13475,28.09715
Kaputa,393,1822,0,-8.806686687,29.92859021
Kasama,1265,2113,13,-10.43914581,30.97406155
Kitwe,12804,1580,0,-12.78944503,28.2582684
Luwingu,1341,1033,3,-10.59166681,29.92767019
Mansa,4647,744,5,-11.32962716,28.87481725
Mbala,685,911,13,-9.216654704,31.68386145
Mumbwa,5341,947,8,-14.9961658,26.60503963
Nchelenge,850,3664,9,-9.304715084,28.77791046
Ndola,1009,963,3,-12.93940695,28.54047061
Samfya,580,1496,3,-11.47877362,29.82045032
